Terminal,Capacidad,Unidad,Movil
1. Bogota,81,MT3,1123
1. Bogota,81,MT3,1141
1. Bogota,81,MT3,1142
1. Bogota,5,MT3,1363
1. Bogota,5,MT3,1364
1. Bogota,5,MT3,1365
1. Bogota,5,MT3,1366
1. Bogota,5,MT3,1367
1. Bogota,5,MT3,1368
1. Bogota,5,MT3,1369
1. Bogota,5,MT3,1370
1. Bogota,4,MT3,1799
1. Bogota,23,MT3,1817
1. Bogota,23,MT3,1818
1. Bogota,23,MT3,1819
1. Bogota,23,MT3,1820
1. Bogota,23,MT3,1822
1. Bogota,23,MT3,1823
1. Bogota,23,MT3,1827
1. Bogota,23,MT3,1829
1. Bogota,23,MT3,1831
1. Bogota,23,MT3,1832
1. Bogota,23,MT3,1836
1. Bogota,23,MT3,1837
1. Bogota,23,MT3,1843
1. Bogota,23,MT3,1845
1. Bogota,23,MT3,1849
1. Bogota,23,MT3,1852
1. Bogota,23,MT3,1856
1. Bogota,23,MT3,1857
1. Bogota,23,MT3,1860
1. Bogota,23,MT3,1863
1. Bogota,23,MT3,1865
1. Bogota,23,MT3,1868
1. Bogota,23,MT3,1870
1. Bogota,23,MT3,1871
1. Bogota,23,MT3,1873
1. Bogota,23,MT3,1875
1. Bogota,23,MT3,1876
1. Bogota,23,MT3,1879
1. Bogota,23,MT3,1892
1. Bogota,23,MT3,1893
1. Bogota,23,MT3,1894
1. Bogota,23,MT3,1895
1. Bogota,14,MT3,1900
1. Bogota,81,MT3,2000
1. Bogota,23,MT3,2126
1. Bogota,23,MT3,2127
1. Bogota,23,MT3,2128
1. Bogota,23,MT3,2129
1. Bogota,23,MT3,2130
1. Bogota,23,MT3,2131
1. Bogota,23,MT3,2133
1. Bogota,23,MT3,2135
1. Bogota,23,MT3,2140
1. Bogota,23,MT3,2141
1. Bogota,23,MT3,2143
1. Bogota,23,MT3,2148
1. Bogota,23,MT3,2150
1. Bogota,23,MT3,2155
1. Bogota,23,MT3,2156
1. Bogota,23,MT3,2157
1. Bogota,23,MT3,2162
1. Bogota,23,MT3,2163
1. Bogota,23,MT3,2164
1. Bogota,23,MT3,2167
1. Bogota,23,MT3,2168
1. Bogota,23,MT3,2169
1. Bogota,23,MT3,2170
1. Bogota,23,MT3,2171
1. Bogota,23,MT3,2173
1. Bogota,23,MT3,2176
1. Bogota,23,MT3,2177
1. Bogota,23,MT3,2178
1. Bogota,23,MT3,2180
1. Bogota,23,MT3,2182
1. Bogota,23,MT3,2185
1. Bogota,23,MT3,2192
1. Bogota,27,MT3,2199
1. Bogota,27,MT3,2203
1. Bogota,27,MT3,2205
1. Bogota,27,MT3,2207
1. Bogota,3,MT3,2210
1. Bogota,3,MT3,2212
1. Bogota,3,MT3,2213
1. Bogota,3,MT3,2215
1. Bogota,23,MT3,2274
1. Bogota,23,MT3,2285
1. Bogota,39,MT3,2325
1. Bogota,39,MT3,2326
1. Bogota,39,MT3,2327
1. Bogota,14,MT3,2356
1. Bogota,14,MT3,2357
1. Bogota,14,MT3,2361
1. Bogota,14,MT3,2365
1. Bogota,36,MT3,2368
1. Bogota,36,MT3,2405
1. Bogota,36,MT3,2410
1. Bogota,36,MT3,2415
1. Bogota,41,MT3,2439
1. Bogota,41,MT3,2440
1. Bogota,41,MT3,2443
1. Bogota,41,MT3,2444
1. Bogota,41,MT3,2445
1. Bogota,41,MT3,2446
1. Bogota,36,MT3,2465
1. Bogota,4,MT3,2475
1. Bogota,4,MT3,2476
1. Bogota,4,MT3,2477
1. Bogota,4,MT3,2478
1. Bogota,4,MT3,2487
1. Bogota,4,MT3,2488
1. Bogota,4,MT3,2489
1. Bogota,23,MT3,2495
1. Bogota,23,MT3,2496
1. Bogota,16,MT3,2514
1. Bogota,16,MT3,2517
1. Bogota,16,MT3,2518
1. Bogota,16,MT3,2519
1. Bogota,16,MT3,2520
1. Bogota,16,MT3,2522
1. Bogota,16,MT3,2524
1. Bogota,16,MT3,2525
1. Bogota,16,MT3,2526
1. Bogota,16,MT3,2527
1. Bogota,16,MT3,2528
1. Bogota,16,MT3,2529
1. Bogota,16,MT3,2530
1. Bogota,16,MT3,2532
1. Bogota,16,MT3,2533
1. Bogota,16,MT3,2534
1. Bogota,16,MT3,2535
1. Bogota,16,MT3,2536
1. Bogota,16,MT3,2537
1. Bogota,16,MT3,2538
1. Bogota,16,MT3,2539
1. Bogota,16,MT3,2540
1. Bogota,16,MT3,2542
1. Bogota,16,MT3,2543
1. Bogota,16,MT3,2544
1. Bogota,16,MT3,2545
1. Bogota,16,MT3,2546
1. Bogota,16,MT3,2548
1. Bogota,16,MT3,2549
1. Bogota,16,MT3,2552
1. Bogota,16,MT3,2553
1. Bogota,16,MT3,2554
1. Bogota,16,MT3,2555
1. Bogota,16,MT3,2557
1. Bogota,16,MT3,2558
1. Bogota,16,MT3,2559
1. Bogota,16,MT3,2560
1. Bogota,16,MT3,2562
1. Bogota,41,MT3,2563
1. Bogota,41,MT3,2565
1. Bogota,41,MT3,2566
1. Bogota,41,MT3,2567
1. Bogota,41,MT3,2569
1. Bogota,41,MT3,2574
1. Bogota,41,MT3,2575
1. Bogota,41,MT3,2576
1. Bogota,41,MT3,2577
1. Bogota,41,MT3,2584
1. Bogota,41,MT3,2585
1. Bogota,41,MT3,2586
1. Bogota,41,MT3,2587
1. Bogota,41,MT3,2588
1. Bogota,16,MT3,2589
1. Bogota,41,MT3,2590
1. Bogota,41,MT3,2593
1. Bogota,41,MT3,2594
1. Bogota,41,MT3,2595
1. Bogota,41,MT3,2596
1. Bogota,16,MT3,2597
1. Bogota,16,MT3,2598
1. Bogota,16,MT3,2599
1. Bogota,16,MT3,2600
1. Bogota,16,MT3,2603
1. Bogota,16,MT3,2604
1. Bogota,16,MT3,2605
1. Bogota,42,MT3,2608
1. Bogota,42,MT3,2609
1. Bogota,42,MT3,2610
1. Bogota,42,MT3,2613
1. Bogota,42,MT3,2614
1. Bogota,42,MT3,2615
1. Bogota,42,MT3,2616
1. Bogota,42,MT3,2617
1. Bogota,42,MT3,2618
1. Bogota,42,MT3,2619
1. Bogota,14,MT3,2620
1. Bogota,14,MT3,2622
1. Bogota,14,MT3,2624
1. Bogota,14,MT3,2625
1. Bogota,14,MTS,2626
1. Bogota,14,MT3,2627
1. Bogota,14,MT3,2629
1. Bogota,14,MT3,2630
1. Bogota,42,MT3,2631
1. Bogota,10,MT3,2644
1. Bogota,10,MT3,2645
1. Bogota,10,MT3,2646
1. Bogota,24,MT3,2648
1. Bogota,24,MT3,2652
1. Bogota,24,MT3,2653
1. Bogota,24,MT3,2654
1. Bogota,24,MT3,2655
1. Bogota,41,MT3,2670
1. Bogota,24,MT3,2684
1. Bogota,24,MT3,2686
1. Bogota,24,MT3,2687
1. Bogota,24,MT3,2688
1. Bogota,24,MT3,2689
1. Bogota,24,MT3,2690
1. Bogota,81,MT3,271
1. Bogota,24,MT3,2731
1. Bogota,24,MT3,2732
1. Bogota,24,MT3,2733
1. Bogota,24,MT3,2735
1. Bogota,24,MT3,2736
1. Bogota,24,MT3,2737
1. Bogota,81,MT3,2837
1. Bogota,8.9,MT3,2869
1. Bogota,8.9,MT3,2870
1. Bogota,8.9,MT3,2871
1. Bogota,8.9,MT3,2872
1. Bogota,8.9,MT3,2873
1. Bogota,8.9,MT3,2874
1. Bogota,8.9,MT3,3230
1. Bogota,8.9,MT3,3232
1. Bogota,8.9,MT3,3233
1. Bogota,8.9,MT3,3237
1. Bogota,8.9,MT3,3239
1. Bogota,12.30,MT3,3285
1. Bogota,12.30,MT3,3286
1. Bogota,12.30,MT3,3287
1. Bogota,12.30,MT3,3288
1. Bogota,12.30,MT3,3289
1. Bogota,12.30,MT3,3290
1. Bogota,12.30,MT3,3291
1. Bogota,12.30,MT3,3292
1. Bogota,12.30,MT3,3293
1. Bogota,12.30,MT3,3294
1. Bogota,12.30,MT3,3295
1. Bogota,12.30,MT3,3296
1. Bogota,12.30,MT3,3297
1. Bogota,12.30,MT3,3298
1. Bogota,12.30,MT3,3299
1. Bogota,12.30,MT3,3300
1. Bogota,12.30,MT3,3301
1. Bogota,12.30,MT3,3302
1. Bogota,12.30,MT3,3303
1. Bogota,12.30,MT3,3304
1. Bogota,12.30,MT3,3305
1. Bogota,12.30,MT3,3306
1. Bogota,12.30,MT3,3307
1. Bogota,12.30,MT3,3308
1. Bogota,12.30,MT3,3309
1. Bogota,12.30,MT3,3310
1. Bogota,12.30,MT3,3311
1. Bogota,12.30,MT3,3312
1. Bogota,12.30,MT3,3313
1. Bogota,12.30,MT3,3314
1. Bogota,22,MT3,3317
1. Bogota,22,MT3,3318
1. Bogota,22,MT3,3319
1. Bogota,81,MT3,44
1. Bogota,81,MT3,457
1. Bogota,81,MT3,459
1. Bogota,81,MT3,462
1. Bogota,81,MT3,465
1. Bogota,81,MT3,466
1. Bogota,81,MT3,468
1. Bogota,81,MT3,470
1. Bogota,81,MT3,48
1. Bogota,81,MT3,480
1. Bogota,81,MT3,482
1. Bogota,81,MT3,484
1. Bogota,81,MT3,488
1. Bogota,81,MT3,491
1. Bogota,81,MT3,498
1. Bogota,81,MT3,651
1. Bogota,81,MT3,652
1. Bogota,81,MT3,653
1. Bogota,81,MT3,660
1. Bogota,81,MT3,662
1. Bogota,81,MT3,683
1. Bogota,81,MT3,684
1. Bogota,81,MT3,685
1. Bogota,81,MT3,691
1. Bogota,23,MT3,890
1. Bogota,23,MT3,891
1. Bogota,23,MT3,893
1. Bogota,23,MT3,896
1. Bogota,23,MT3,898
1. Bogota,23,MT3,913
1. Bogota,23,MT3,914
11. Pasto,3,MT3,2214
11. Pasto,23,MT3,2224
11. Pasto,23,MT3,2247
11. Pasto,23,MT3,2251
11. Pasto,23,MT3,2278
11. Pasto,23,MT3,2291
11. Pasto,23,MT3,2343
11. Pasto,23,MT3,2345
12. Cucuta,23,MT3,1824
12. Cucuta,23,MT3,1825
12. Cucuta,23,MT3,1828
12. Cucuta,23,MT3,1839
12. Cucuta,23,MT3,1841
12. Cucuta,23,MT3,1858
12. Cucuta,23,MT3,1859
12. Cucuta,23,MT3,2174
12. Cucuta,23,MT3,2190
12. Cucuta,23,MT3,2260
12. Cucuta,23,MT3,2263
12. Cucuta,23,MT3,2268
12. Cucuta,23,MT3,2271
12. Cucuta,23,MT3,2298
12. Cucuta,14,MT3,2329
12. Cucuta,23,MT3,2380
12. Cucuta,8.9,MT3,3199
13. Manizales,23,MT3,2284
13. Manizales,23,MT3,2295
13. Manizales,23,MT3,2297
13. Manizales,23,MT3,2310
13. Manizales,23,MT3,2312
13. Manizales,23,MT3,2320
13. Manizales,23,MT3,2335
13. Manizales,23,MT3,2338
13. Manizales,23,MT3,2350
13. Manizales,36,MT3,2372
13. Manizales,13,MT3,605
14. Monteria,23,MT3,1803
14. Monteria,23,MT3,1807
14. Monteria,23,MT3,2277
14. Monteria,23,MT3,2293
14. Monteria,23,MT3,2305
14. Monteria,23,MT3,2313
14. Monteria,23,MT3,2341
14. Monteria,36,MT3,2428
15. Buenaventura,23,MT3,2262
15. Buenaventura,13,MT3,604
15. Buenaventura,13,MT3,623
17. Popayan,23,MT3,1878
17. Popayan,23,MT3,2165
17. Popayan,23,MT3,2236
17. Popayan,23,MT3,2245
17. Popayan,23,MT3,2246
19. Yopal,23,MT3,2270
19. Yopal,4,MT3,2479
2. Medellin,70,,1557
2. Medellin,4,OCT,1798
2. Medellin,23,MT3,2179
2. Medellin,23,MT3,2187
2. Medellin,23,MT3,2188
2. Medellin,27,MT3,2194
2. Medellin,27,MT3,2195
2. Medellin,27,MT3,2196
2. Medellin,27,MT3,2197
2. Medellin,27,MT3,2198
2. Medellin,27,MT3,2200
2. Medellin,27,MT3,2201
2. Medellin,27,MT3,2202
2. Medellin,27,MT3,2204
2. Medellin,27,MT3,2206
2. Medellin,7.9,KLS,222042
2. Medellin,23,MT3,2230
2. Medellin,8,MT3,2275
2. Medellin,8,MT3,2276
2. Medellin,23,MT3,2339
2. Medellin,14,MT3,2360
2. Medellin,14,MT3,2366
2. Medellin,36,MT3,2369
2. Medellin,23,MT3,2374
2. Medellin,23,MT3,2376
2. Medellin,23,MT3,2378
2. Medellin,23,MT3,2384
2. Medellin,23,MT3,2385
2. Medellin,23,MT3,2387
2. Medellin,23,MT3,2388
2. Medellin,23,MT3,2390
2. Medellin,23,MT3,2391
2. Medellin,23,MT3,2392
2. Medellin,23,MT3,2393
2. Medellin,23,MT3,2394
2. Medellin,23,MT3,2395
2. Medellin,23,MT3,2400
2. Medellin,23,MT3,2402
2. Medellin,23,MT3,2403
2. Medellin,23,MT3,2404
2. Medellin,36,MT3,2414
2. Medellin,23,MT3,2418
2. Medellin,23,MT3,2419
2. Medellin,23,MT3,2421
2. Medellin,23,MT3,2423
2. Medellin,23,MT3,2424
2. Medellin,23,MT3,2425
2. Medellin,36,MT3,2432
2. Medellin,36,MT3,2435
2. Medellin,23,MT3,2436
2. Medellin,23,MT3,2437
2. Medellin,23,MT3,2438
2. Medellin,23,MT3,2450
2. Medellin,23,MT3,2454
2. Medellin,23,MT3,2455
2. Medellin,23,MT3,2456
2. Medellin,23,MT3,2457
2. Medellin,23,MT3,2458
2. Medellin,23,MT3,2459
2. Medellin,23,MT3,2460
2. Medellin,23,MT3,2462
2. Medellin,23,MT3,2463
2. Medellin,23,MT3,2464
2. Medellin,36,MT3,2466
2. Medellin,23,MT3,2468
2. Medellin,4,MT3,2484
2. Medellin,4,MT3,2490
2. Medellin,13,MT3,2492
2. Medellin,41,MT3,2570
2. Medellin,41,MT3,2573
2. Medellin,14,MT3,2623
2. Medellin,7,MT3,2632
2. Medellin,7,MT3,2633
2. Medellin,7,MT3,2634
2. Medellin,7,MT3,2635
2. Medellin,7,MT3,2636
2. Medellin,7,MT3,2637
2. Medellin,41,MT3,2656
2. Medellin,41,MT3,2657
2. Medellin,41,MT3,2659
2. Medellin,41,MT3,2661
2. Medellin,41,MT3,2666
2. Medellin,41,MT3,2669
2. Medellin,41,MT3,2671
2. Medellin,24,MT3,2672
2. Medellin,24,MT3,2673
2. Medellin,24,MT3,2675
2. Medellin,24,MT3,2676
2. Medellin,24,MT3,2677
2. Medellin,24,MT3,2678
2. Medellin,24,MT3,2679
2. Medellin,24,MT3,2680
2. Medellin,24,MT3,2683
2. Medellin,81,MT3,2779
2. Medellin,24,MT3,2844
2. Medellin,24,MT3,2845
2. Medellin,24,MT3,2848
2. Medellin,24,MT3,2850
2. Medellin,24,MT3,2851
2. Medellin,24,MT3,2853
2. Medellin,24,MT3,2854
2. Medellin,24,MT3,2855
2. Medellin,24,MT3,2856
2. Medellin,24,MT3,2858
2. Medellin,8.9,MT3,2859
2. Medellin,8.9,MT3,2860
2. Medellin,8.9,MT3,2861
2. Medellin,8.9,MT3,2862
2. Medellin,8.9,MT3,2866
2. Medellin,8.9,MT3,2867
2. Medellin,39.4,MT3,2875
2. Medellin,39.4,MT3,2876
2. Medellin,39.4,MT3,2877
2. Medellin,39.4,MT3,2878
2. Medellin,39.4,MT3,2879
2. Medellin,39.4,MT3,2880
2. Medellin,39.4,MT3,2881
2. Medellin,24,MT3,2883
2. Medellin,24,MT3,2885
2. Medellin,24,MT3,2886
2. Medellin,24,MT3,2887
2. Medellin,24,MT3,2890
2. Medellin,17.7,MT3,2894
2. Medellin,17.7,MT3,2896
2. Medellin,17.7,MT3,2903
2. Medellin,17.7,MT3,2904
2. Medellin,17.7,MT3,2905
2. Medellin,17.7,MT3,2906
2. Medellin,17.7,MT3,2909
2. Medellin,24,MT3,2918
2. Medellin,24,MT3,2919
2. Medellin,24,MT3,2921
2. Medellin,24,MT3,2922
2. Medellin,24,MT3,2923
2. Medellin,24,MT3,2924
2. Medellin,24,MT3,2925
2. Medellin,24,MT3,2927
2. Medellin,81,MT3,3047
2. Medellin,81,MT3,3048
2. Medellin,81,MT3,3049
2. Medellin,8.9,MT3,3197
2. Medellin,8.9,MT3,3198
2. Medellin,8.9,MT3,3200
2. Medellin,8.9,MT3,3201
2. Medellin,8.9,MT3,3202
2. Medellin,8.9,MT3,3203
2. Medellin,8.9,MT3,3204
2. Medellin,8.9,MT3,3209
2. Medellin,8.9,MT3,3210
2. Medellin,8.9,MT3,3212
2. Medellin,8.9,MT3,3213
2. Medellin,8.9,MT3,3214
2. Medellin,8.9,MT3,3215
2. Medellin,8.9,MT3,3216
2. Medellin,8.9,MT3,3217
2. Medellin,8.9,MT3,3219
2. Medellin,8.9,MT3,3221
2. Medellin,8.9,MT3,3241
2. Medellin,8.9,MT3,3242
2. Medellin,8.9,MT3,3243
2. Medellin,8.9,MT3,3244
2. Medellin,8.9,MT3,3245
2. Medellin,8.9,MT3,3246
2. Medellin,8.9,MT3,3247
2. Medellin,8.9,MT3,3249
2. Medellin,8.9,MT3,3250
2. Medellin,8.9,MT3,3251
2. Medellin,8.9,MT3,3252
2. Medellin,8.9,MT3,3255
2. Medellin,8.9,MT3,3256
2. Medellin,8.9,MT3,3257
2. Medellin,8.9,MT3,3258
2. Medellin,8.9,MT3,3259
2. Medellin,8.9,MT3,3260
2. Medellin,8.9,MT3,3261
2. Medellin,8.9,MT3,3262
2. Medellin,8.9,MT3,3263
2. Medellin,8.9,MT3,3264
2. Medellin,8.9,MT3,3265
2. Medellin,8.9,MT3,3266
2. Medellin,8.9,MT3,3268
2. Medellin,8.9,MT3,3271
2. Medellin,8.9,MT3,3273
2. Medellin,8.9,MT3,3274
2. Medellin,8.9,MT3,3275
2. Medellin,8.9,MT3,3276
2. Medellin,8.9,MT3,3277
2. Medellin,8.9,MT3,3278
2. Medellin,8.9,MT3,3279
2. Medellin,8.9,MT3,3280
2. Medellin,8.9,MT3,3281
2. Medellin,8.9,MT3,3282
2. Medellin,8.9,MT3,3283
2. Medellin,8.9,MT3,3284
2. Medellin,81,MT3,461
2. Medellin,81,MT3,464
2. Medellin,81,MT3,472
2. Medellin,81,MT3,481
2. Medellin,81,MT3,487
2. Medellin,81,MT3,495
2. Medellin,81,MT3,496
2. Medellin,81,MT3,654
2. Medellin,81,MT3,657
2. Medellin,81,MT3,661
2. Medellin,3,MT3,951
20. Valledupar,23,MT3,2287
20. Valledupar,23,MT3,2288
20. Valledupar,23,MT3,2337
20. Valledupar,23,MT3,2340
20. Valledupar,23,MT3,2351
20. Valledupar,23,MT3,2401
20. Valledupar,41,MT3,2667
20. Valledupar,13,MT3,625
21. Villavicencio,16,MT3,2547
21. Villavicencio,16,MT3,2556
21. Villavicencio,24,MT3,2647
21. Villavicencio,24,MT3,2649
21. Villavicencio,24,MT3,2650
